Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa Eastern and Southern,AFE,CO2 emissions (kt),EN.ATM.CO2E.KT,118545.9013,123758.9033,128093.8978,132810.3325,144345.3524,155803.7801,157932.2573,165066.0405,174004.8927,182939.9843,191243.3018,213550.9464,217837.9853,223290.2332,226298.37,231987.5087,240665.9833,246129.5118,250630.4364,268619.0944,280929.8942,308901.8061,329541.3846,344021.803,365909.7583,374516.7897,385101.671,388106.0476,404605.6778,401747.9479,309980.8254,304407.7236,300329.9719,306574.5771,312677.0287,330892.999,341412.3664,357963.1087,366634.4792,352429.2715,358460.6463,397075.6603,409057.1792,434533.1377,466883.2388,468365.6979,476590.2999,500147.1845,533634.5146,515682.5438,543808.6518,535604.3575,559333.8573,580510.925,601860.164,586385.004,592299.594,601323.3947,600351.1333,,
Africa Western and Central,AFW,CO2 emissions (kt),EN.ATM.CO2E.KT,8760.463,9376.519,9710.216,11540.049,13985.938,19827.469,21246.598,21239.264,16527.169,23743.825,36398.642,48301.724,58059.611,69676.667,84392.338,69995.696,76900.657,74154.074,75045.155,98319.604,98913.658,96889.474,98755.977,91337.636,101154.195,104344.485,99977.088,89694.82,103820.104,82562.505,90210,99880,111590,115080,112220,113980,121890,120450,116930,118000,119510,130120,133840,137380,141040,155650,153210,153350,157600,145550,165750,179070,181740,191990,198440,193060,195120,201900,224380,,
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,550.05,454.708,1180.774,1151.438,1224.778,1188.108,1554.808,993.757,1672.152,2786.92,3582.659,3410.31,4506.743,4880.777,4873.443,4415.068,3285.632,3534.988,5412.492,5504.167,5346.486,5280.48,4649.756,5115.465,5009.122,4701.094,4660.757,5815.862,5130.133,5009.122,6330,6530,6370,6900,6690,10780,11410,11730,11370,12650,12370,12910,13620,18010,19290,18210,20340,23490,25080,27150,28530,29460,30250,32820,34630,35160,35410,30840,27340,,
Burundi,BDI,CO2 emissions (kt),EN.ATM.CO2E.KT,,,44.004,47.671,47.671,36.67,47.671,47.671,55.005,73.34,62.339,73.34,73.34,73.34,91.675,77.007,88.008,99.009,102.676,110.01,146.68,157.681,157.681,205.352,220.02,231.021,234.688,249.356,227.354,267.691,190,230,200,210,210,220,220,230,230,230,260,210,220,170,160,160,190,190,200,200,320,370,390,410,390,410,460,570,590,,
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,161.348,128.345,135.679,121.011,143.013,150.347,113.677,143.013,154.014,201.685,282.359,293.36,388.702,381.368,407.037,443.707,260.357,297.027,363.033,366.7,517.047,429.039,491.378,454.708,502.379,744.401,685.729,539.049,553.717,630.724,380,330,360,420,400,460,1050,1240,1300,1420,1530,1840,2120,2380,2530,2780,3830,4390,4350,4700,5080,4980,4740,5020,5510,5990,7230,7360,7910,,
Burkina Faso,BFA,CO2 emissions (kt),EN.ATM.CO2E.KT,44.004,91.675,84.341,88.008,110.01,102.676,102.676,102.676,102.676,121.011,143.013,150.347,161.348,168.682,205.352,220.02,209.019,249.356,348.365,407.037,432.706,557.384,575.719,594.054,465.709,476.71,480.377,517.047,553.717,821.408,590,600,610,620,620,640,720,820,880,930,1050,1020,1020,1100,1130,1150,1400,1680,1910,1930,2090,2200,2710,2970,3020,3400,3500,4070,4270,,
Botswana,BWA,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,22.002,51.338,88.008,187.017,594.054,781.071,832.409,942.419,986.423,1008.425,1100.1,1030.427,1045.095,1158.772,1067.097,1239.446,1301.785,1430.13,2810,2740,3300,3250,3080,3190,2920,3070,3680,3860,4030,3870,4030,3920,3970,4280,4090,4320,4390,4090,3370,4000,5130,5560,7130,7210,7120,7870,8210,,
Central African Republic,CAF,CO2 emissions (kt),EN.ATM.CO2E.KT,88.008,88.008,73.34,73.34,73.34,88.008,84.341,91.675,183.35,187.017,209.019,183.35,168.682,161.348,113.677,102.676,128.345,128.345,146.68,102.676,106.343,135.679,143.013,146.68,150.347,161.348,161.348,260.357,231.021,249.356,160,150,150,160,160,160,170,170,230,240,240,250,250,240,240,240,260,260,260,260,270,290,300,300,300,310,310,310,330,,
Cote d'Ivoire,CIV,CO2 emissions (kt),EN.ATM.CO2E.KT,462.042,553.717,586.72,623.39,762.736,1173.44,1294.451,1488.802,1763.827,2086.523,2442.222,2706.246,3014.274,3208.625,3560.657,3989.696,3964.027,4055.702,4818.438,5423.493,6222.899,4466.406,6109.222,4840.44,5405.158,7326.666,5966.209,7682.365,9160.166,8522.108,2710,2790,2770,2960,3090,3260,3880,4790,4830,6690,6330,6260,6380,5150,5420,5810,5630,5550,6360,5930,6220,5990,7890,8460,8960,9560,9320,10380,9910,,
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,271.358,282.359,289.693,300.694,337.364,311.695,344.698,458.375,506.046,572.052,638.058,810.407,861.745,898.415,975.422,1162.439,1092.766,1565.809,2002.182,1829.833,3905.355,5342.819,6343.91,6589.599,6057.884,6475.922,1994.848,1844.501,2200.2,7634.694,2900,2650,2530,6660,7290,7110,6340,6590,6760,6520,6700,6330,6220,6100,6540,6610,6950,8120,8210,8790,8990,7970,7060,7370,7750,8010,8550,8320,8620,,
