,Country Name,Country Code,Indicator Name,2016
0,Africa Eastern and Southern,AFE,CO2 emissions (kt),592299.594
1,Africa Western and Central,AFW,CO2 emissions (kt),195120.0
2,Angola,AGO,CO2 emissions (kt),35410.0
3,Burundi,BDI,CO2 emissions (kt),460.0
4,Benin,BEN,CO2 emissions (kt),7230.0
5,Burkina Faso,BFA,CO2 emissions (kt),3500.0
6,Botswana,BWA,CO2 emissions (kt),7120.0
7,Central African Republic,CAF,CO2 emissions (kt),310.0
8,Cote d'Ivoire,CIV,CO2 emissions (kt),9320.0
9,Cameroon,CMR,CO2 emissions (kt),8550.0
10,"Congo, Dem. Rep.",COD,CO2 emissions (kt),2060.0
11,"Congo, Rep.",COG,CO2 emissions (kt),3350.0
12,Comoros,COM,CO2 emissions (kt),200.0
13,Cabo Verde,CPV,CO2 emissions (kt),550.0
14,Djibouti,DJI,CO2 emissions (kt),490.0
15,Algeria,DZA,CO2 emissions (kt),143350.0
16,"Egypt, Arab Rep.",EGY,CO2 emissions (kt),233960.0
17,Eritrea,ERI,CO2 emissions (kt),660.0
18,Ethiopia,ETH,CO2 emissions (kt),14950.0
19,Gabon,GAB,CO2 emissions (kt),5710.0
20,Ghana,GHA,CO2 emissions (kt),14110.0
21,Guinea,GIN,CO2 emissions (kt),2830.0
22,"Gambia, The",GMB,CO2 emissions (kt),530.0
23,Guinea-Bissau,GNB,CO2 emissions (kt),300.0
24,Equatorial Guinea,GNQ,CO2 emissions (kt),5600.0
25,Kenya,KEN,CO2 emissions (kt),18770.0
26,Liberia,LBR,CO2 emissions (kt),1410.0
27,Libya,LBY,CO2 emissions (kt),51180.0
28,Lesotho,LSO,CO2 emissions (kt),2270.0
29,Morocco,MAR,CO2 emissions (kt),63080.0
30,Madagascar,MDG,CO2 emissions (kt),3220.0
31,Mali,MLI,CO2 emissions (kt),4420.0
32,Mozambique,MOZ,CO2 emissions (kt),5790.0
33,Mauritania,MRT,CO2 emissions (kt),2810.0
34,Mauritius,MUS,CO2 emissions (kt),4040.0
35,Malawi,MWI,CO2 emissions (kt),1360.0
36,Namibia,NAM,CO2 emissions (kt),4360.0
37,Niger,NER,CO2 emissions (kt),1970.0
38,Nigeria,NGA,CO2 emissions (kt),108420.0
39,Papua New Guinea,PNG,CO2 emissions (kt),7630.0
40,Rwanda,RWA,CO2 emissions (kt),1050.0
41,Sudan,SDN,CO2 emissions (kt),20480.0
42,Senegal,SEN,CO2 emissions (kt),9920.0
43,Sierra Leone,SLE,CO2 emissions (kt),960.0
44,Somalia,SOM,CO2 emissions (kt),660.0
45,Sub-Saharan Africa (excluding high income),SSA,CO2 emissions (kt),785390.5429
46,South Sudan,SSD,CO2 emissions (kt),1730.0
47,Sub-Saharan Africa,SSF,CO2 emissions (kt),785929.453
48,Small states,SST,CO2 emissions (kt),228009.3423
49,Sao Tome and Principe,STP,CO2 emissions (kt),120.0
50,Eswatini,SWZ,CO2 emissions (kt),1230.0
51,Seychelles,SYC,CO2 emissions (kt),540.0
52,Chad,TCD,CO2 emissions (kt),1020.0
53,Togo,TGO,CO2 emissions (kt),2300.0
54,Sub-Saharan Africa (IDA & IBRD countries),TSS,CO2 emissions (kt),785929.453
55,Tunisia,TUN,CO2 emissions (kt),28990.0
56,Tanzania,TZA,CO2 emissions (kt),10920.0
57,Uganda,UGA,CO2 emissions (kt),5670.0
58,South Africa,ZAF,CO2 emissions (kt),425180.0
59,Zambia,ZMB,CO2 emissions (kt),5590.0
60,Zimbabwe,ZWE,CO2 emissions (kt),10990.0
