,Indicator,Continent,Country,Year,Gender,Cause,Average_death_Value
0,Ambient air pollution attributable death rate (per 100 000 population),Africa,Malawi,2016,Female,"Trachea, bronchus, lung cancers",0.041
1,Ambient air pollution attributable death rate (per 100 000 population),Africa,Niger,2016,Female,"Trachea, bronchus, lung cancers",0.04700000000000001
2,Ambient air pollution attributable death rate (per 100 000 population),Africa,United Republic of Tanzania,2016,Female,"Trachea, bronchus, lung cancers",0.052
3,Ambient air pollution attributable death rate (per 100 000 population),Africa,United Republic of Tanzania,2016,Both sexes,"Trachea, bronchus, lung cancers",0.056333333333333326
4,Ambient air pollution attributable death rate (per 100 000 population),Africa,Malawi,2016,Both sexes,"Trachea, bronchus, lung cancers",0.057333333333333326
5,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sierra Leone,2016,Female,"Trachea, bronchus, lung cancers",0.059666666666666666
6,Ambient air pollution attributable death rate (per 100 000 population),Africa,United Republic of Tanzania,2016,Male,"Trachea, bronchus, lung cancers",0.06133333333333333
7,Ambient air pollution attributable death rate (per 100 000 population),Africa,Liberia,2016,Female,"Trachea, bronchus, lung cancers",0.06366666666666666
8,Ambient air pollution attributable death rate (per 100 000 population),Africa,Comoros,2016,Female,"Trachea, bronchus, lung cancers",0.07133333333333335
9,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea,2016,Female,"Trachea, bronchus, lung cancers",0.07266666666666667
10,Ambient air pollution attributable death rate (per 100 000 population),Africa,Malawi,2016,Male,"Trachea, bronchus, lung cancers",0.07366666666666666
11,Ambient air pollution attributable death rate (per 100 000 population),Africa,Togo,2016,Female,"Trachea, bronchus, lung cancers",0.07533333333333332
12,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sierra Leone,2016,Both sexes,"Trachea, bronchus, lung cancers",0.08
13,Ambient air pollution attributable death rate (per 100 000 population),Africa,Benin,2016,Female,"Trachea, bronchus, lung cancers",0.07833333333333332
14,Ambient air pollution attributable death rate (per 100 000 population),Africa,Angola,2016,Female,"Trachea, bronchus, lung cancers",0.08133333333333333
15,Ambient air pollution attributable death rate (per 100 000 population),Africa,Liberia,2016,Both sexes,"Trachea, bronchus, lung cancers",0.08366666666666667
16,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gambia,2016,Female,"Trachea, bronchus, lung cancers",0.08233333333333333
17,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zambia,2016,Female,"Trachea, bronchus, lung cancers",0.08233333333333333
18,Ambient air pollution attributable death rate (per 100 000 population),Africa,Niger,2016,Both sexes,"Trachea, bronchus, lung cancers",0.083
19,Ambient air pollution attributable death rate (per 100 000 population),Africa,Benin,2016,Both sexes,"Trachea, bronchus, lung cancers",0.085
21,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ghana,2016,Female,"Trachea, bronchus, lung cancers",0.08833333333333333
22,Ambient air pollution attributable death rate (per 100 000 population),Africa,Democratic Republic of the Congo,2016,Female,"Trachea, bronchus, lung cancers",0.08533333333333333
23,Ambient air pollution attributable death rate (per 100 000 population),Africa,Benin,2016,Male,"Trachea, bronchus, lung cancers",0.09166666666666667
24,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea,2016,Both sexes,"Trachea, bronchus, lung cancers",0.09400000000000001
25,Ambient air pollution attributable death rate (per 100 000 population),Africa,Côte d’Ivoire,2016,Female,"Trachea, bronchus, lung cancers",0.09433333333333334
26,Ambient air pollution attributable death rate (per 100 000 population),Africa,Liberia,2016,Male,"Trachea, bronchus, lung cancers",0.10266666666666667
27,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zambia,2016,Both sexes,"Trachea, bronchus, lung cancers",0.10099999999999999
28,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sierra Leone,2016,Male,"Trachea, bronchus, lung cancers",0.10066666666666667
29,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zimbabwe,2016,Female,"Trachea, bronchus, lung cancers",0.10066666666666667
30,Ambient air pollution attributable death rate (per 100 000 population),Africa,Chad,2016,Female,"Trachea, bronchus, lung cancers",0.10100000000000002
31,Ambient air pollution attributable death rate (per 100 000 population),Africa,Eswatini,2016,Female,"Trachea, bronchus, lung cancers",0.10833333333333334
32,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mozambique,2016,Female,"Trachea, bronchus, lung cancers",0.10533333333333333
33,Ambient air pollution attributable death rate (per 100 000 population),Africa,Angola,2016,Both sexes,"Trachea, bronchus, lung cancers",0.10333333333333333
34,Ambient air pollution attributable death rate (per 100 000 population),Africa,Democratic Republic of the Congo,2016,Both sexes,"Trachea, bronchus, lung cancers",0.10033333333333334
35,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritania,2016,Female,"Trachea, bronchus, lung cancers",0.10466666666666667
36,Ambient air pollution attributable death rate (per 100 000 population),Africa,Botswana,2016,Female,"Trachea, bronchus, lung cancers",0.11399999999999999
37,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea,2016,Male,"Trachea, bronchus, lung cancers",0.11399999999999999
38,Ambient air pollution attributable death rate (per 100 000 population),Africa,Congo,2016,Female,"Trachea, bronchus, lung cancers",0.11266666666666665
