ID WHO city,iso3,country,city,pm10,Year,type_of_stations,pm10_type,pm25,pm25_type,reference,latitude,longitude,population,wbinc16_text,region,date_compiled,population_source,tempcov_PM10,tempcov_PM25,latitude_pop,longitude_pop,Region,region_abbr,tempcov_PM10_grad,tempcov_PM25_grad,conc_pm25,color_pm25,conc_pm10,color_pm10
NA,ALB,Albania,Durres,24.5317006,2016,1 Urban-Traffic,Measured,14.29827251,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],41.3199,19.4492,113249,Upper middle income,Eur_LM,2018,1 manual,0.924180328,0.924180328,NA,NA,Europe (LMIC),Eur (LMIC),>75%,>75%,10-<15,yellow,20-<30,yellow
NA,ALB,Albania,Korce,40.18491957,2016,1 Suburban-Background,Measured,28.61583069,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.62593,20.78018,51152,Upper middle income,Eur_LM,2018,1 manual,0.998178506,0.998064663,NA,NA,Europe (LMIC),Eur (LMIC),>75%,>75%,25-<35,darkorange,30-<50,darkred
NA,ALB,Albania,Vlore,22.69935708,2016,1 Urban-Background,Measured,15.29752101,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.40309,19.4862,79513,Upper middle income,Eur_LM,2018,1 manual,0.99965847,NA,NA,NA,Europe (LMIC),Eur (LMIC),>75%,NA,15-<25,orange,20-<30,yellow
NA,AND,Andorra,Escaldes-Engordany,22.82947626,2016,1 Urban-Background,Measured,11.5,Measured,"Govern D'Andorra, Ministeri de Medi Ambient, Agricultura i Sostenibilitat, The European Environmental Agency (EEA) [downloaded 2018/04/14]",42.509694,1.539138,37466.87891,High income,Eur_HI,2018,2 old database,0.999772313,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ARG,Argentina,Buenos Aires,26.87878788,2016,3 N.A.,Measured,12.44930777,Converted,Agencia de Proteccion Ambiental,-34.61047557,-58.39671997,15180176,Upper middle income,Amr_LM,2018,3 UN 2015,0.916666667,NA,NA,NA,Americas (LMIC),Amr (LMIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,AUS,Australia,Adelaide,16.18571429,2016,"5 Residential, 2 Residential/Industry",Measured,6.875,Measured,EPA South Australia,-34.64607143,138.4885,1255516,High income,Wpr_HI,2018,7 UN 2015,0.933285714,0.9305,NA,NA,Western Pacific (HIC),Wpr (HIC),>75%,>75%,<10,green,<20,green
NA,AUS,Australia,Albany,17.5,2016,2 N.A.,Measured,7.591446893,Converted,2016 Western Australia air monitoring report (June 2017),-35.011,117.888,26644,High income,Wpr_HI,2018,2 old database,0.955,NA,NA,NA,Western Pacific (HIC),Wpr (HIC),>75%,NA,<10,green,<20,green
NA,AUS,Australia,Albury,15.0531856,2016,1 Campaign Site,Measured,6.53002623,Converted,Office of Environment and Heritage NSW Government,-36.050349,146.942048,26644,High income,Wpr_HI,2018,1 old database,0.986338798,NA,NA,NA,Western Pacific (HIC),Wpr (HIC),>75%,NA,<10,green,<20,green
NA,AUS,Australia,Bathurst,13.28709677,2016,1 Campaign Site,Measured,5.763902258,Converted,Office of Environment and Heritage NSW Government,-33.401922,149.57459,31292,High income,Wpr_HI,2018,1 old database,0.931693989,NA,NA,NA,Western Pacific (HIC),Wpr (HIC),>75%,NA,<10,green,<20,green
NA,AUS,Australia,Brisbane,15.21140773,2016,7 N.A.,Measured,6.610636631,Measured,Queensland Government Data,-27.38201429,153.0761714,2201930,High income,Wpr_HI,2018,7 UN 2015,0.934503439,0.928085786,NA,NA,Western Pacific (HIC),Wpr (HIC),>75%,>75%,<10,green,<20,green
